bromidrato de galantamina | cápsula de liberação prolongada | 16 mg | Componente Especializado (CEAF);
bromidrato de galantamina | cápsula de liberação prolongada | 24 mg | Componente Especializado (CEAF);
bromidrato de galantamina | cápsula de liberação prolongada | 8 mg | Componente Especializado (CEAF);
budesonida | aerossol oral | 200 mcg | Componente Especializado (CEAF);
budesonida | cápsula inalatória | 200 mcg | Componente Especializado (CEAF);
budesonida | cápsula inalatória | 400 mcg | Componente Especializado (CEAF);
budesonida | pó inalatório | 200 mcg | Componente Especializado (CEAF);
budesonida | suspensão para inalação nasal | 32 mcg | Componente Básico (CBAF);
budesonida | suspensão para inalação nasal | 50 mcg | Componente Básico (CBAF);
budesonida | suspensão para inalação nasal | 64 mcg | Componente Básico (CBAF);
burosumabe | solução injetável | 10 mg/mL | Componente Especializado (CEAF);
burosumabe | solução injetável | 20 mg/mL | Componente Especializado (CEAF);
burosumabe | solução injetável | 30 mg/mL | Componente Especializado (CEAF);
cabergolina | comprimido | 0,5 mg | Componente Básico (CBAF);
calcipotriol | pomada | 50 mcg/g (0,005%) | Componente Especializado (CEAF);
calcitonina | solução nasal | 200 UI/dose | Componente Especializado (CEAF);
calcitriol | cápsula | 0,25 mcg | Componente Especializado (CEAF);
caneta para aplicação de insulina | '- | '- | Componente Básico (CBAF);
capecitabina | comprimido revestido | 150 mg | Componente Especializado (CEAF);
capecitabina | comprimido revestido | 500 mg | Componente Especializado (CEAF);
capreomicina | pó para solução injetável | 1 g | Componente Estratégico (CESAF);
captopril | comprimido | 25 mg | Componente Básico (CBAF);
carbamazepina | comprimido | 200 mg | Componente Básico (CBAF);
carbamazepina | comprimido | 400 mg | Componente Básico (CBAF);
carbamazepina | suspensão oral | 20 mg/mL | Componente Básico (CBAF);
carbonato de cálcio | comprimido | 1.250 mg | Componente Básico (CBAF);
carbonato de cálcio + colecalciferol | comprimido | 1.250 mg + 200 UI | Componente Básico (CBAF);
carbonato de cálcio + colecalciferol | comprimido | 1.250 mg + 400 UI | Componente Básico (CBAF);
carbonato de cálcio + colecalciferol | comprimido | 1.500 mg + 400 UI | Componente Básico (CBAF);
carbonato de lítio | comprimido | 300 mg | Componente Básico (CBAF);
carboplatina | solução injetável | 10 mg/mL | Componente Especializado (CEAF);
carfilzomibe | frasco-ampola | 60 mg | Componente Especializado (CEAF);
carmustina | pó liofilizado para solução injetável | 100 mg | Componente Especializado (CEAF);
carvão vegetal ativado | pó para suspensão oral | '- | Componente Básico (CBAF);
carvedilol | comprimido | 12,5 mg | Componente Básico (CBAF);
carvedilol | comprimido | 25 mg | Componente Básico (CBAF);
carvedilol | comprimido | 3,125 mg | Componente Básico (CBAF);
carvedilol | comprimido | 6,25 mg | Componente Básico (CBAF);
cáscara-sagrada (Rhamnus purshiana) | cápsula | 20 mg | Componente Básico (CBAF);
cáscara-sagrada (Rhamnus purshiana) | tintura | 20 mg | Componente Básico (CBAF);
cefalexina | cápsula | 500 mg | Componente Básico (CBAF);
cefalexina | comprimido | 500 mg | Componente Básico (CBAF);
cefalexina | suspensão oral | 50 mg/mL | Componente Básico (CBAF);
cefotaxima sódica | pó para solução injetável | 500 mg | Componente Básico (CBAF);
ceftriaxona | pó para solução injetável | 1 g | Componente Básico (CBAF);
ceftriaxona | pó para solução injetável | 250 mg | Componente Básico (CBAF);
ceftriaxona | pó para solução injetável | 500 mg | Componente Básico (CBAF);
certolizumabe pegol | solução injetável | 200 mg/mL | Componente Especializado (CEAF);
cetoconazol | xampu | 20 mg/mL (2%) | Componente Básico (CBAF);
cianocobalamina | solução injetável | 500 mcg/mL | Componente Básico (CBAF);
ciclofosfamida | comprimido de liberação retardada | 50 mg | Componente Especializado (CEAF);
ciclofosfamida monoidratada | comprimido de liberação retardada | 50 mg | Componente Especializado (CEAF);
ciclofosfamida monoidratada | pó estéril para solução injetável | 1000 mg | Componente Especializado (CEAF);
ciclofosfamida monoidratada | pó estéril para solução injetável | 200 mg | Componente Especializado (CEAF);
ciclosporina | cápsula | 10 mg | Componente Especializado (CEAF);
ciclosporina | cápsula | 100 mg | Componente Especializado (CEAF);
ciclosporina | cápsula | 25 mg | Componente Especializado (CEAF);
ciclosporina | cápsula | 50 mg | Componente Especializado (CEAF);
ciclosporina | solução injetável | 50 mg | Componente Especializado (CEAF);
ciclosporina | solução oral | 100 mg/mL | Componente Especializado (CEAF);
ciprofibrato | comprimido | 100 mg | Componente Especializado (CEAF);
ciprofloxacino | comprimido | 250 mg | Componente Básico (CBAF);
ciprofloxacino | comprimido | 500 mg | Componente Básico (CBAF);
cisplatina | solução injetável | 0,5 mg/mL | Componente Especializado (CEAF);
cisplatina | solução injetável | 1 mg/mL | Componente Especializado (CEAF);
citarabina | solução injetável | 100 mg/mL | Componente Especializado (CEAF);
citarabina | solução injetável | 20 mg/mL | Componente Especializado (CEAF);
citrato de dietilcarbamazina | comprimido | 50 mg | Componente Estratégico (CESAF);
citrato de sildenafila | comprimido | 20 mg | Componente Especializado (CEAF);
citrato de sildenafila | comprimido | 25 mg | Componente Especializado (CEAF);
citrato de sildenafila | comprimido | 50 mg | Componente Especializado (CEAF);
citrato de tamoxifeno | comprimido revestido | 10 mg | Componente Especializado (CEAF);
citrato de tamoxifeno | comprimido revestido | 20 mg | Componente Especializado (CEAF);
cladribina | comprimido | 10 mg | Componente Especializado (CEAF);
cladribina | frasco ampola | 1mg/mL | Componente Especializado (CEAF);
claritromicina | cápsula | 500 mg | Componente Básico (CBAF);
claritromicina | comprimido | 250 mg | Componente Básico (CBAF);
claritromicina | comprimido | 500 mg | Componente Básico (CBAF);
claritromicina | grânulo para suspensão oral | 50 mg/mL | Componente Básico (CBAF);
clobazam | comprimido | 10 mg | Componente Especializado (CEAF);
clobazam | comprimido | 20 mg | Componente Especializado (CEAF);
clofazimina | cápsula | 100 mg | Componente Estratégico (CESAF);
clofazimina | cápsula | 50 mg | Componente Estratégico (CESAF);
clonazepam | solução oral | 2,5 mg/mL | Componente Básico (CBAF);
clorambucila | comprimido revestido | 2 mg | Componente Especializado (CEAF);
cloranfenicol | cápsula | 250 mg | Componente Básico (CBAF);
cloranfenicol | comprimido | 250 mg | Componente Básico (CBAF);
cloranfenicol | suspensão oral | 25 mg/mL | Componente Estratégico (CESAF);
cloreto de potássio | solução injetável | 191 mg/mL | Componente Básico (CBAF);
cloreto de sódio | solução injetável | 200 mg/mL | Componente Básico (CBAF);
cloreto de sódio | solução injetável | 9 mg/mL | Componente Básico (CBAF);
cloreto de sódio | solução nasal | 9 mg/mL | Componente Básico (CBAF);
cloridrato de amantadina | comprimido | 100 mg | Componente Especializado (CEAF);
cloridrato de amiodarona | comprimido | 200 mg | Componente Básico (CBAF);
cloridrato de amiodarona | solução injetável | 50 mg/mL | Componente Básico (CBAF);
cloridrato de amitriptilina | comprimido | 25 mg | Componente Básico (CBAF);
cloridrato de amitriptilina | comprimido | 75 mg | Componente Básico (CBAF);
cloridrato de biperideno | comprimido | 2 mg | Componente Básico (CBAF);
cloridrato de biperideno | comprimido de liberação prolongada | 4 mg | Componente Básico (CBAF);
cloridrato de bupivacaína | solução injetável | 2,5 mg/mL (0,25%) | Componente Básico (CBAF);
cloridrato de bupivacaína | solução injetável | 5 mg/mL (0,50%) | Componente Básico (CBAF);
cloridrato de bupropiona | comprimido de liberação prolongada | 150 mg | Componente Estratégico (CESAF);
cloridrato de cinacalcete | comprimido | 30 mg | Componente Especializado (CEAF);
cloridrato de cinacalcete | comprimido | 60 mg | Componente Especializado (CEAF);
cloridrato de clindamicina | cápsula | 150 mg | Componente Básico (CBAF);
